Country Name,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ghana,Population_total,SP.POP.TOTL,6961215,7162667,7337375,7514714,7695739,7882606,8074521,8271913,8475729,8690383,8925813,9176264,9438187,9714617,10000523,10294308,10594913,10911871,11248450,11597255,11941448,12281712,12643819,13029836,13370590,13661229,13965217,14289108,14636568,15006813,15394648,15787496,16184855,16589519,16993190,17399017,17810181,18238958,18688036,19149864,19637087,20167069,20729388,21296705,21868298,22449438,23040702,23642279,24249946,24862664,25474995,26095088,26734268,27386193,28041592,28696068,29356742,30008354,30637585,31258945,31887809,32518665,33149152,33787914,34427414
Ghana,Male life expectancy at birth_years,SP.DYN.LE00.MA.IN,45.024,45.197,45.421,45.546,45.616,45.667,45.679,45.709,45.746,45.807,45.886,45.979,46.312,46.623,47.041,47.455,47.889,48.263,48.648,48.988,49.26,49.531,49.658,50.008,50.442,50.911,51.499,52.113,52.741,53.375,53.947,54.382,54.808,55.128,55.038,55.556,55.846,56.124,56.384,56.643,56.93,57.179,57.459,57.74,58.01,58.353,58.691,58.967,59.194,59.507,59.79,59.983,60.308,60.652,60.99,61.317,61.63,61.907,62.155,62.387,62.028,62.107,62.954,63.134,
Ghana,Infant mortality_per_1000_births,SP.DYN.IMRT.IN,121.8,120.7,119.8,119,118.4,117.9,117.5,117.1,116.6,115.7,114.6,112.9,110.8,108.1,104.9,101.4,98,94.9,92.4,90.7,89.6,89,88.5,87.9,86.8,85.1,82.9,80.4,77.6,75,72.6,70.8,69.5,68.7,68.2,67.8,67.4,66.5,65.3,63.7,61.8,59.8,58,56.3,54.8,53.4,52.1,50.7,49.2,47.5,45.7,43.9,42.1,40.5,39.1,37.7,36.4,35.1,33.9,32.6,31.4,30.2,29.2,28.2,
Ghana,Crude death rate_per 1000 people,SP.DYN.CDRT.IN,19.182,18.942,19.159,19.232,19.203,19.184,19.123,19.077,19.014,18.896,18.779,18.47,17.76,17.267,16.812,16.328,15.877,15.464,15.284,15.144,15.085,14.656,14.386,14.198,14.061,13.675,13.28,12.882,12.456,12.067,11.748,11.51,11.266,11.084,11.036,10.763,10.557,10.389,10.248,10.11,9.991,9.866,9.722,9.58,9.436,9.314,9.161,9.015,8.884,8.741,8.604,8.485,8.333,8.169,7.981,7.845,7.693,7.558,7.448,7.34,7.439,7.482,7.095,7.04,
Ghana,Number of under-five deaths,SH.DTH.MORT,69669,70640,71586,72483,73385,74379,75504,76868,78497,80219,81945,83280,84149,84494,84273,83499,82513,81746,81476,81927,83134,84652,85970,87081,87741,87434,86069,84128,81657,79160,77058,75503,74322,73548,72908,72235,71386,70359,69350,68258,67273,66125,64768,63420,62100,61177,60156,58568,56818,55134,53570,52118,50673,49211,47633,46045,44237,42022,39941,38161,36517,35041,33705,32579,
Ghana,Number of infant deaths,SH.DTH.IMRT,41400,41924,42405,42824,43189,43629,44138,44833,45689,46565,47327,47687,47713,47427,46882,46111,45298,44744,44603,44960,45805,46781,47563,48328,48989,49045,48457,47564,46347,45178,44356,43824,43423,43216,42985,42786,42541,42368,42367,42333,42378,42145,41570,40992,40434,40307,40113,39373,38531,37797,37210,36684,36027,35254,34291,33310,32147,30603,29246,28214,27257,26382,25549,24822,
Ghana,Cereal yield _kg per hectare,AG.YLD.CREL.KG,,816.4,809.6,788.2,777.6,809.2,1088.7,916.1,859.3,824.8,858.2,860.7,867.1,863.7,957.1,834.3,816.7,832,837.2,844.2,717.8,860,764,517.4,840.1,890.7,984.8,938.6,1095.8,1012.9,989.2,1220.8,1042.1,1340.2,1327.5,1354.1,1389.2,1321.7,1333.8,1297,1309.2,1186.1,1349,1396.4,1373.3,1432.3,1334.5,1317,1598.1,1659.8,1814.3,1594.2,1768.1,1688.8,1703.4,1830.3,1842.4,1930.7,2172.6,2346.2,2410.8,2360.5,2503.9,,
Ghana,Female population percentage,SP.POP.TOTL.FE.ZS,48.88490714,49.01229514,49.1800678,49.33804533,49.48612472,49.62115321,49.74428824,49.85811023,49.96389692,50.05822528,50.12287958,50.13281004,50.12249704,50.13021616,50.14044264,50.14862095,50.15189364,50.17677537,50.22973832,50.28538647,50.29163967,50.25167501,50.24233974,50.2699113,50.2875565,50.28655182,50.28423477,50.27923367,50.27159372,50.26126467,50.24790434,50.23212041,50.21469763,50.19626549,50.2002773,50.22206714,50.23665397,50.23844291,50.23139938,50.22560474,50.21436224,50.19589113,50.1763149,50.15801271,50.14130043,50.1254508,50.10978832,50.0948703,50.08157956,50.069538,50.05864182,50.0498293,50.0427485,50.03681052,50.03269251,50.02974101,50.02712494,50.02537627,50.02477023,50.02572864,50.03029057,50.03611772,50.04152142,50.04857358,50.05653925
Ghana,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,44.195424,44.439033,44.663938,44.849609,45.256249,45.292035,45.30738,45.316376,45.302547,45.652548,45.416996,45.393604,45.841552,46.214603,46.485393,46.981828,47.448557,47.816485,48.306645,48.706073,49.056835,49.348623,49.416878,49.903663,50.558758,51.297046,51.951883,52.53338,53.213765,53.754905,54.123272,54.29269,54.527224,54.61673,54.492701,54.968123,55.387088,55.783685,56.197504,56.69627,57.097938,57.43206,57.864262,58.307447,58.768257,59.186205,59.677379,60.175662,60.720087,61.303963,62.017998,62.721015,63.396883,64.128119,64.998338,65.554071,66.162128,66.703345,67.314162,67.984748,67.961276,67.210056,69.697326,70.247296,
Ghana,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,107.2497123,110.3225806,104.2553191,106.2727273,103.9644013,109.6180082,105.0065876,102.5265957,100.4705882,100.5997001,101.3722886,104.48,94.52930728,94.94430163,103.4763948,99.07249669,,,,,,,,,102.726557,102.9351578,103.5596889,106.5230563,105.8786373,107.6006164,108.9723452,108.5612571,111.5416849,116.161282,111.5038809,108.4302153,107.9805798,120.581249,112.8568397,117.5484261,118.4439149,119.5798212,112.2567394,115.9290604,121.0636829,125.2731398,113.0793085,116.3041411,119.4553326,113.0109538,113.7833876,112.4222366,112.4495988,109.8774869,107.3727581,108.8578613,105.4905212,102.7946157,101.0487265,101.925603,103.5246577,102.597592,100.7873687,100.8462285,98.84890232
